401,Kaitlin,moody,58,Computing,lectuere,201,Cis124,false,true,/qG.9.R}♫QVWUq}b*t§.z6Z*QPk}adyRBVUmLW%.vUSfE)/yEuFPd2jM.WSP9)SzA*QR??PKFBG}+Gurp.V!/BSEhZ_Ku%♫dnP^b{EQfR)Q4pDVQ)%u!b♫?/9♫!YFS!$r-53-123-28-39-54-69-35
402,Frederick,QUINN,79,Computing,lectuere,105,Cis123,false,true,dfavbsVAvSP(Z>V>U2a9UX./-uE4kk$r9§pEhd$(.A@4Wd)Q9s{Q>4f2*rUPM4vnQttQVGR$USyvUS/K4zU♞Q§.bfP♞.(FtdYYMhUZXGS}B♫n%9*M$bsL^$QhYNrUhQSP-56-102-110-119-99-24-21
403,Cheryl,BLAKE,51,Computing,lectuere,104,Cis124,false,true,*an>hW+b94Z94Y§AQs_@{rt§>vS9Wn?PU9kBY/?66^>BS*WB{@UUSP^{w_UWdQ.pWeG@svZbrz♞v4Cskvb?kR_Gs4Sb9U^4V^{XQ?vDP%t{E.U§ZQPBS$E@_w@UrYrdrn-18-39-98-50-126-15-81
404,Autumn,MAXWELL,39,Computing,lectuere,301,Cis125,false,true,$ZrvPf♫4.U*ZPD!49DQ/P%♞{Q2Gwdb@K3P^9$ddzgY/%hsNBP{PU*?YM_%FWrhP{V_^$sD}z>Y4S$rWE!@YS{QtyQSb9*DzKWWSs6%?DzpZn49nWQYV/ap!t^BgPsR{nb-59-69-44-66-36-72-32
405,Tyrone,POPE,39,Computing,lectuere,300,Cis126,false,true,Kvty@zn@>2nPD>!AYGQ>DPd@./nn[XDgUDz@vBPV*{R@Fr{P9(4PKk)FzdVZ?By?R6V4Paz*u?ztkFPBf?D9FQ.PU}f?b♞CNn@{P4P6Y6^rQ6v.A46PNN+yWG.g%SP>wb-89-59-29-62-108-28-82
406,Martha,FLOYD,33,Computing,module-leader,302,Cis127,false,false,r?MEWq{BUYU?rnP2W2>QGQ?%Ep4v(EPGnufrf}@Q2Q*Qbg2.Wr)n@.DYb9@Yb9s9z§U@USY♫♞?W}*e9taspp(@4B4{{)9Qr*PR?bQSSR§QrV4/nGaM?4_r@UzQ$y.^2UM-125-0-31-2-92-122-25
407,Omar,OSBORNE,59,Computing,lectuere,103,Cis134,false,false,yUy$u@QPZWZQSQfP4Zr)eE/%2WSQ4/K)BaZCe>DDGan4.Z/QUQyKySM@@Fyd.}k.?6%4S♫FZQD4P9s♫yt^Pq@WVkw*YUd?dE.♫ddAsDp/W/r>/nn=.pdsrP4K.g%Y/nev-73-36-50-112-116-62
408,Lydia,PAUL,71,Computing,moderator,102,Cis135,false,true,tSh4tDUCz?t>dVK!?L/P2Vr?*DEV4WqVFq*ar4*p.@tMUFrW?Zb*rRg*ZVSwbRvSZ+vNtn@+WK4}FhrkUQKUb%rL>>anP!bR*}B.f2bn4zkkQ.Q@E@s@%SP?CkFsUkQQA-99-101-26-86-12-9-97
409,Jerome,MCCARTHY,65,Computing,moderator,101,Cis136,false,false,qUS>ZhAeYb{fY2*KkVu?*)p.>SSW♞♫(DyWQL.US4huAqUY}zzd♫UZ^KUsNQ)kW8DS2VhU^.42NE♫dRz2UhQ4Grr/r@@YPkgVp4b)!YNQNnFd9G♫PzRbpVPBnPs@sY!BrU-99-9-0-62-7-17-114
410,Theodore,GUERRERO,63,Computing,lectuere,100,Cis137,false,false,W^PtWG)PsP49YFYK^W$vUzZ♫4KS%.9s?ef!>}W}gUwpC}fbg>4/.ad(vdU2rE6SN9K>sdN@A!F(buWDnddkQ}9!K(@vWD%WYZC^GERbdy)V6L.y*ByUQSnrQdb@p6D.G§-55-24-25-5-85-74-69
411,Abby,LINDSEY,44,Computing,lectuere,200,Cis145,false,true,g>){♫g2.r)?k!rW_>n@anr*%QtYFRD?4wnv$.+t*)r}>_Ep$SrVrQ_WMnpkN}Q4?(db**nz}WL@gVAdN^4)bP♫Cz{uvS@%a4LUW9na9v}bSpKD?k9bVYgdPna9Q^**QQ(-20-64-55-101-95-101-42
412,Neil,ESTRADA,76,Computing,tutor,202,Cis146,false,true,s6UG?w@uvq4N+MSb.RUvh♫Zwur6f?.bY/!A^$VpeQt@Z(4p(tS.@2d?B29?bVQ]UZB^2uVN*+%?/rB)hCrV@{4abRBv}2np}Q*+9hrh$knAdQ!R^/t9TPb9Sn6(.?sE*}-62-115-72-1-117-11-9
